forex_date,forex_volume,forex_vwap,forex_transactions,forex_open_price,forex_close_price,forex_highest_price,forex_lowest_price,forex_diff,forex_percent_inc
2023-07-23 00:00:00,189129,1.10930,189129,1.11243,1.10629,1.11470,1.10580,.04216,3.737
2023-07-24 00:00:00,177460,1.10570,177460,1.10627,1.10500,1.10870,1.10200,.03600,3.737
2023-07-25 00:00:00,203704,1.10680,203704,1.10498,1.10777,1.11065,1.10360,.03471,2.803
2023-07-26 00:00:00,236494,1.10540,236494,1.10777,1.09778,1.11500,1.09640,.03750,3.737
2023-07-27 00:00:00,234222,1.09950,234222,1.09779,1.10350,1.10476,1.09429,.02752,2.803
2023-07-29 00:00:00,4338,1.10250,4338,1.10104,1.10236,1.10279,1.10104,.03077,2.803
2023-07-30 00:00:00,195114,1.10180,195114,1.10235,1.09965,1.10460,1.09914,.03208,2.803
2023-07-31 00:00:00,183278,1.09790,183278,1.09965,1.10073,1.10200,1.09520,.02938,2.803
2023-08-01 00:00:00,214655,1.09670,214655,1.10076,1.09433,1.10076,1.09170,.03049,2.803
2023-08-02 00:00:00,205316,1.09350,205316,1.09430,1.09506,1.09626,1.09110,.02403,1.869
2023-08-03 00:00:00,189973,1.09810,189973,1.09511,1.10250,1.10418,1.09340,.02484,1.869
2023-08-05 00:00:00,4500,1.10050,4500,1.10047,1.10023,1.10136,1.09990,.03020,2.803
2023-08-06 00:00:00,175817,1.09930,175817,1.10022,1.10025,1.10130,1.09640,.02995,2.803
2023-08-07 00:00:00,199495,1.09660,199495,1.10024,1.09588,1.10110,1.09287,.02997,2.803
2023-08-08 00:00:00,179243,1.09760,179243,1.09593,1.09760,1.09960,1.09540,.02566,2.803
2023-08-09 00:00:00,201138,1.10050,201138,1.09769,1.09814,1.10647,1.09660,.02742,2.803
2023-08-10 00:00:00,187753,1.09770,187753,1.09816,1.09630,1.10050,1.09410,.02789,2.803
2023-08-12 00:00:00,3475,1.09440,3475,1.09418,1.09431,1.09568,1.09396,.02391,1.869
2023-08-13 00:00:00,198917,1.09250,198917,1.09430,1.09060,1.09610,1.08740,.02403,1.869
2023-08-14 00:00:00,204379,1.09220,204379,1.09076,1.09034,1.09523,1.08952,.02049,1.869
2023-08-15 00:00:00,215973,1.09060,215973,1.09037,1.08745,1.09350,1.08700,.02010,1.869
2023-08-16 00:00:00,220713,1.08780,220713,1.08743,1.08741,1.09190,1.08550,.01716,1.869
2023-08-17 00:00:00,200211,1.08740,200211,1.08743,1.08900,1.08940,1.08112,.01716,1.869
2023-08-19 00:00:00,2639,1.08740,2639,1.08657,1.08747,1.08783,1.08641,.01630,1.869
2023-08-20 00:00:00,116892,1.08900,116892,1.08745,1.08973,1.09140,1.08680,.01718,1.869
2023-08-21 00:00:00,120174,1.08800,120174,1.08971,1.08450,1.09303,1.08310,.01944,1.869
2023-08-22 00:00:00,134040,1.08410,134040,1.08462,1.08640,1.08720,1.08010,.01435,.934
2023-08-23 00:00:00,124176,1.08420,124176,1.08655,1.07985,1.08770,1.07920,.01628,1.869
