dates_date,open_price,close_price,highest_price,lowest_price,diff,percen_inc,netflix_growth
2023-09-07,441,443,444,436,143,47.99,171
2023-09-08,443,442,446,438,145,48.66,172
2023-09-11,443,445,449,442,145,48.66,173
2023-09-12,442,434,445,434,144,48.32,174
2023-09-13,435,412,438,410,137,45.97,175
2023-09-14,410,400,411,400,112,37.58,176
2023-09-15,401,396,404,395,103,34.56,177
2023-09-18,395,394,399,392,97,32.55,178
2023-09-19,392,396,398,390,94,31.54,179
2023-09-20,397,386,397,386,99,33.22,180
2023-09-21,386,384,395,383,88,29.53,181
2023-09-22,385,379,386,378,87,29.19,182
2023-09-25,382,384,386,380,84,28.19,183
2023-09-26,382,379,384,377,84,28.19,184
2023-09-27,382,377,384,376,84,28.19,185
2023-09-28,375,376,378,371,77,25.84,186
2023-09-29,380,377,382,375,82,27.52,187
2023-10-02,377,380,384,376,79,26.51,188
2023-10-03,377,376,394,372,79,26.51,189
2023-10-04,376,376,380,373,78,26.17,190
2023-10-05,378,372,378,367,80,26.85,191
2023-10-06,368,381,382,367,70,23.49,192
2023-10-09,378,385,387,377,80,26.85,193
2023-10-10,385,373,388,372,87,29.19,194
2023-10-11,372,365,377,365,74,24.83,195
2023-10-12,366,361,368,359,68,22.82,196
2023-10-13,355,355,358,352,57,19.13,197
2023-10-16,356,360,363,354,58,19.46,198
2023-10-17,361,355,362,353,63,21.14,199
2023-10-18,351,346,354,344,53,17.79,200
2023-10-19,404,401,408,392,106,35.57,201
2023-10-20,405,400,410,398,107,35.91,202
2023-10-23,403,406,407,398,105,35.23,203
2023-10-24,409,413,416,408,111,37.25,204
2023-10-25,416,411,418,410,118,39.60,205
2023-10-26,411,403,417,401,113,37.92,206
2023-10-27,406,397,410,395,108,36.24,207
2023-10-30,402,410,412,399,104,34.90,208
2023-10-31,409,411,412,404,111,37.25,209
2023-11-01,414,420,420,414,116,38.93,210
2023-11-02,421,424,426,417,123,41.28,211
2023-11-03,428,432,434,425,130,43.62,212
2023-11-06,434,434,435,429,136,45.64,213
2023-11-07,436,434,437,431,138,46.31,214
2023-11-08,435,436,438,433,137,45.97,215
2023-11-09,438,435,440,434,140,46.98,216
2023-11-10,437,447,447,435,139,46.64,217
2023-11-13,447,444,448,442,149,50.00,218
2023-11-14,448,448,454,445,150,50.34,219
2023-11-15,452,461,462,452,154,51.68,220
2023-11-16,463,466,467,459,165,55.37,221
2023-11-17,466,465,467,462,168,56.38,222
2023-11-20,465,474,476,465,167,56.04,223
2023-11-21,472,474,477,471,174,58.39,224
2023-11-22,476,478,482,476,178,59.73,225
2023-11-24,477,479,480,475,179,60.07,226
2023-11-27,479,479,482,475,181,60.74,227
2023-11-28,478,479,480,475,180,60.40,228
2023-11-29,479,477,480,474,181,60.74,229
2023-11-30,475,473,478,470,177,59.40,230
2023-12-01,473,465,475,464,175,58.72,231
2023-12-04,460,453,461,451,162,54.36,232
2023-12-05,450,455,456,449,152,51.01,233
2023-12-06,460,446,460,445,162,54.36,234
2023-12-07,450,452,452,448,152,51.01,235
2023-12-08,450,453,455,450,152,51.01,236
2023-12-11,459,459,470,457,161,54.03,237
2023-12-12,465,463,465,459,167,56.04,238
2023-12-13,461,479,481,461,163,54.70,239
2023-12-14,480,469,480,464,182,61.07,240
2023-12-15,467,472,473,467,169,56.71,241
2023-12-18,476,486,492,475,178,59.73,242
2023-12-19,488,495,496,484,190,63.76,243
2023-12-20,492,489,500,488,194,65.10,244
2023-12-21,492,491,494,486,194,65.10,245
2023-12-22,494,486,496,485,196,65.77,246
2023-12-26,489,491,491,486,191,64.09,247
2023-12-27,491,491,494,489,193,64.77,248
2023-12-28,492,490,492,489,194,65.10,249
2023-12-29,490,486,492,481,192,64.43,250
2024-01-02,483,468,484,461,185,62.08,251
2024-01-03,467,470,475,465,169,56.71,252
2024-01-04,472,474,480,466,174,58.39,253
2024-01-05,476,474,479,471,178,59.73,254
2024-01-08,473,485,485,473,175,58.72,255
2024-01-09,475,482,485,473,177,59.40,256
2024-01-10,481,478,487,472,183,61.41,257
2024-01-11,492,492,503,483,194,65.10,258
2024-01-12,500,492,500,490,202,67.79,259
